stringId_A	stringId_B	score	edgeType
ENSP00000171111	ENSP00000037243	0.444	InnerInteraction
ENSP00000212015	ENSP00000008527	0.647	InnerInteraction
ENSP00000212015	ENSP00000037243	0.726	InnerInteraction
ENSP00000212015	ENSP00000171111	0.521	InnerInteraction
ENSP00000215754	ENSP00000008527	0.417	InnerInteraction
ENSP00000215754	ENSP00000009530	0.986	InnerInteraction
ENSP00000215832	ENSP00000009530	0.583	InnerInteraction
ENSP00000215832	ENSP00000171111	0.482	InnerInteraction
ENSP00000215832	ENSP00000212015	0.509	InnerInteraction
ENSP00000215832	ENSP00000215754	0.414	InnerInteraction
ENSP00000216129	ENSP00000200457	0.826	InnerInteraction
ENSP00000216254	ENSP00000039007	0.918	InnerInteraction
ENSP00000216254	ENSP00000205402	0.802	InnerInteraction
ENSP00000216540	ENSP00000171111	0.434	InnerInteraction
ENSP00000216780	ENSP00000039007	0.426	InnerInteraction
ENSP00000216780	ENSP00000171111	0.469	InnerInteraction
ENSP00000216780	ENSP00000205402	0.413	InnerInteraction
ENSP00000216780	ENSP00000212015	0.559	InnerInteraction
ENSP00000216797	ENSP00000215832	0.961	InnerInteraction
ENSP00000216923	ENSP00000039007	0.468	InnerInteraction
ENSP00000217131	ENSP00000216416	0.9	InnerInteraction
ENSP00000219022	ENSP00000217131	0.902	InnerInteraction
ENSP00000219070	ENSP00000212015	0.7	InnerInteraction
ENSP00000219070	ENSP00000215832	0.746	InnerInteraction
ENSP00000219476	ENSP00000037243	0.428	InnerInteraction
ENSP00000219476	ENSP00000212015	0.837	InnerInteraction
ENSP00000219476	ENSP00000215832	0.974	InnerInteraction
ENSP00000219476	ENSP00000216180	0.577	InnerInteraction
ENSP00000219479	ENSP00000212015	0.486	InnerInteraction
ENSP00000219481	ENSP00000173229	0.405	InnerInteraction
ENSP00000219599	ENSP00000216259	0.554	InnerInteraction
ENSP00000220764	ENSP00000171111	0.676	InnerInteraction
ENSP00000220764	ENSP00000205402	0.577	InnerInteraction
ENSP00000220764	ENSP00000209668	0.436	InnerInteraction
ENSP00000220764	ENSP00000212015	0.643	InnerInteraction
ENSP00000220764	ENSP00000215832	0.595	InnerInteraction
ENSP00000220764	ENSP00000216254	0.537	InnerInteraction
ENSP00000220764	ENSP00000216780	0.471	InnerInteraction
ENSP00000220764	ENSP00000219070	0.473	InnerInteraction
ENSP00000220764	ENSP00000219476	0.641	InnerInteraction
ENSP00000220764	ENSP00000219599	0.565	InnerInteraction
ENSP00000221130	ENSP00000171111	0.674	InnerInteraction
ENSP00000221130	ENSP00000215832	0.47	InnerInteraction
ENSP00000221130	ENSP00000216254	0.414	InnerInteraction
ENSP00000221130	ENSP00000220764	0.925	InnerInteraction
ENSP00000221452	ENSP00000215832	0.418	InnerInteraction
ENSP00000221452	ENSP00000216797	0.952	InnerInteraction
ENSP00000222122	ENSP00000008527	0.698	InnerInteraction
ENSP00000222122	ENSP00000212015	0.416	InnerInteraction
ENSP00000222543	ENSP00000219070	0.464	InnerInteraction
ENSP00000222673	ENSP00000205402	0.998	InnerInteraction
ENSP00000222673	ENSP00000216254	0.899	InnerInteraction
ENSP00000222673	ENSP00000216780	0.517	InnerInteraction
ENSP00000222673	ENSP00000220764	0.734	InnerInteraction
ENSP00000222673	ENSP00000221130	0.632	InnerInteraction
ENSP00000222673	ENSP00000222214	0.928	InnerInteraction
ENSP00000223127	ENSP00000222673	0.545	InnerInteraction
ENSP00000223366	ENSP00000212015	0.48	InnerInteraction
ENSP00000223366	ENSP00000216180	0.413	InnerInteraction
ENSP00000223366	ENSP00000216780	0.758	InnerInteraction
ENSP00000223366	ENSP00000220764	0.528	InnerInteraction
ENSP00000225577	ENSP00000037243	0.462	InnerInteraction
ENSP00000225577	ENSP00000212015	0.798	InnerInteraction
ENSP00000225577	ENSP00000215832	0.961	InnerInteraction
ENSP00000225577	ENSP00000219476	0.947	InnerInteraction
ENSP00000225577	ENSP00000220764	0.404	InnerInteraction
ENSP00000225964	ENSP00000219070	0.97	InnerInteraction
ENSP00000225964	ENSP00000223127	0.949	InnerInteraction
ENSP00000226253	ENSP00000205402	0.598	InnerInteraction
ENSP00000226253	ENSP00000216254	0.666	InnerInteraction
