label	stringId	pubmedCount	direction	nodeType
SIRT1	ENSP00000212015	840	2	LongevityGene
FOXO1	ENSP00000368880	762	2	LongevityGene
RORC	ENSP00000327025	723	-2	LongevityGene
FILNC1	NA	665	2	LongevityGene
MTOR	ENSP00000354558	572	-2	LongevityGene
AKT1	ENSP00000451828	547	-2	LongevityGene
IGF1R	ENSP00000268035	470	-2	LongevityGene
PRKAA1	ENSP00000346148	378	2	LongevityGene
SOD1	ENSP00000270142	342	2	LongevityGene
CAT	ENSP00000241052	304	2	LongevityGene
POU2F3	ENSP00000260264	198	2	LongevityGene
TERT	ENSP00000309572	192	2	LongevityGene
PTEN	ENSP00000361021	130	2	LongevityGene
MYC	ENSP00000479618	124	-2	LongevityGene
SOD2	ENSP00000446252	118	2	LongevityGene
CDKN2A	ENSP00000418915	116	-2	LongevityGene
SHC1	ENSP00000401303	109	-2	LongevityGene
IRS1	ENSP00000304895	107	-2	LongevityGene
SIRT6	ENSP00000337332	102	2	LongevityGene
CDK11B	ENSP00000464036	94	-2	LongevityGene
GHR	ENSP00000483403	74	-2	LongevityGene
KL	ENSP00000369442	66	2	LongevityGene
TSC2	ENSP00000219476	65	2	LongevityGene
RPS6KB1	ENSP00000225577	61	-2	LongevityGene
FGF21	ENSP00000471477	58	2	LongevityGene
TERC	NA	58	2	LongevityGene
LMNA	ENSP00000357283	49	2	LongevityGene
SLC13A5	ENSP00000406220	34	-2	LongevityGene
G6PD	ENSP00000377192	32	2	LongevityGene
UCP2	ENSP00000312029	32	2	LongevityGene
GHRH	ENSP00000362716	31	-2	LongevityGene
TLE7	NA	30	-2	LongevityGene
KEAP1	ENSP00000171111	29	-2	LongevityGene
COQ7	ENSP00000322316	27	-2	LongevityGene
UCP1	ENSP00000262999	27	2	LongevityGene
ATG5	ENSP00000358072	26	2	LongevityGene
IRS2	ENSP00000365016	26	-2	LongevityGene
SGK1	ENSP00000356832	26	-2	LongevityGene
IKBKB	ENSP00000430684	23	-2	LongevityGene
INSR	ENSP00000303830	21	-2	LongevityGene
STK11	ENSP00000324856	21	2	LongevityGene
TSC1	ENSP00000298552	21	2	LongevityGene
BECN1	ENSP00000355231	20	2	LongevityGene
AKT2	ENSP00000375892	17	-2	LongevityGene
ADCY5	ENSP00000419361	15	-2	LongevityGene
CISD2	ENSP00000273986	15	2	LongevityGene
NFKBIA	ENSP00000216797	14	2	LongevityGene
PLAU	ENSP00000361850	14	2	LongevityGene
BUB1B	ENSP00000287598	13	2	LongevityGene
TRPV1	ENSP00000459962	13	-2	LongevityGene
MTNR1B	ENSP00000257068	12	2	LongevityGene
PCK1	ENSP00000319814	12	2	LongevityGene
AGRP	ENSP00000290953	10	-2	LongevityGene
MIF	ENSP00000215754	10	-2	LongevityGene
CEBPB	ENSP00000305422	9	2	LongevityGene
DGAT1	ENSP00000482264	9	-2	LongevityGene
PIK3CA	ENSP00000263967	8	-2	LongevityGene
PAPPA	ENSP00000330658	8	-2	LongevityGene
SURF1	ENSP00000361042	8	-2	LongevityGene
UBD	ENSP00000366249	5	-2	LongevityGene
TXN	ENSP00000363641	5	2	LongevityGene
CRTC1	ENSP00000345001	4	-2	LongevityGene
PPP3CA	ENSP00000378323	4	-2	LongevityGene
EPRS1	ENSP00000355890	3	-2	LongevityGene
NUDT1	ENSP00000380241	3	2	LongevityGene
SLC13A1	ENSP00000194130	3	-2	LongevityGene
AGTR1	ENSP00000419422	2	-2	LongevityGene
PIGQ	ENSP00000026218	2	2	LongevityGene
NKX2-1	ENSP00000346879	2	2	LongevityGene
PRKAR2B	ENSP00000265717	2	-2	LongevityGene
TXNRD2	ENSP00000383365	2	2	LongevityGene
ADRA1A	ENSP00000369960	1	2	LongevityGene
EPS8	ENSP00000281172	1	-2	LongevityGene
GSTA4	ENSP00000360002	1	-2	LongevityGene
IP6K3	ENSP00000398861	1	-2	LongevityGene
MLST8	ENSP00000456405	1	-2	LongevityGene
MTBP	ENSP00000303398	1	-2	LongevityGene
HCRTR2	ENSP00000477548	1	2	LongevityGene
RPS11	ENSP00000270625	1	-2	LongevityGene
PPP2R5C	ENSP00000412324	1	2	LongevityGene
ADK	ENSP00000286621	0	-2	LongevityGene
AK2	ENSP00000346921	0	-2	LongevityGene
ADSL	ENSP00000485525	0	-2	LongevityGene
ADSS2	ENSP00000355493	0	-2	LongevityGene
APRT	ENSP00000367615	0	-2	LongevityGene
CYC1	ENSP00000317159	0	-2	LongevityGene
EDNRA	ENSP00000315011	0	-2	LongevityGene
USP10	ENSP00000457411	NA	-2	LongevityGene
REST	ENSP00000311816	NA	2	LongevityGene
GPD1	ENSP00000301149	NA	2	LongevityGene
